state,age_of_mother,mothers_single_race,year_of_death,month_code,month,death_rate,after_injunction,abortion_illegal,reliable,date
Pennsylvania,25-29,White,2022,3,March,6.72,0,0,Unreliable,2022-03-01
Ohio,20-24,White,2022,12,December,6.72,1,0,Unreliable,2022-12-01
Texas,15-19,White,2022,9,September,6.72,1,1,Unreliable,2022-09-01
Georgia,30-34,White,2022,5,May,6.73,0,0,Unreliable,2022-05-01
Texas,20-24,White,2021,1,January,6.73,0,1,Reliable,2021-01-01
Florida,20-24,White,2021,5,May,6.74,0,0,Unreliable,2021-05-01
Indiana,30-34,White,2022,5,May,6.76,0,1,Unreliable,2022-05-01
Michigan,30-34,White,2022,12,December,6.78,1,0,Unreliable,2022-12-01
Ohio,20-24,White,2022,3,March,6.8,0,0,Unreliable,2022-03-01
Virginia,25-29,White,2022,9,September,6.81,1,0,Unreliable,2022-09-01
Indiana,25-29,White,2022,12,December,6.81,1,1,Unreliable,2022-12-01
Virginia,30-34,White,2021,1,January,6.83,0,0,Unreliable,2021-01-01
Florida,25-29,White,2021,2,February,6.87,0,0,Reliable,2021-02-01
Ohio,20-24,White,2021,10,October,6.91,0,0,Unreliable,2021-10-01
Ohio,20-24,White,2021,3,March,6.92,0,0,Unreliable,2021-03-01
Florida,20-24,White,2022,10,October,6.95,1,0,Unreliable,2022-10-01
Ohio,20-24,White,2021,8,August,6.96,0,0,Unreliable,2021-08-01
Ohio,25-29,White,2021,5,May,6.99,0,0,Unreliable,2021-05-01
Georgia,25-29,White,2021,3,March,6.99,0,0,Unreliable,2021-03-01
Arizona,25-29,White,2022,6,June,7.03,1,0,Unreliable,2022-06-01
Michigan,30-34,White,2021,2,February,7.03,0,0,Unreliable,2021-02-01
Virginia,25-29,White,2021,8,August,7.07,0,0,Unreliable,2021-08-01
Wisconsin,25-29,White,2021,8,August,7.08,0,0,Unreliable,2021-08-01
Virginia,25-29,White,2021,5,May,7.11,0,0,Unreliable,2021-05-01
Texas,20-24,White,2022,4,April,7.11,0,1,Reliable,2022-04-01
Tennessee,25-29,White,2022,12,December,7.12,1,1,Unreliable,2022-12-01
Tennessee,30-34,White,2022,1,January,7.13,0,1,Unreliable,2022-01-01
Virginia,30-34,White,2022,8,August,7.13,1,0,Unreliable,2022-08-01
Florida,20-24,White,2021,7,July,7.15,0,0,Unreliable,2021-07-01
Tennessee,25-29,White,2022,11,November,7.15,1,1,Unreliable,2022-11-01
Wisconsin,30-34,White,2022,3,March,7.16,0,0,Unreliable,2022-03-01
Ohio,20-24,White,2021,4,April,7.16,0,0,Unreliable,2021-04-01
Tennessee,30-34,White,2021,4,April,7.24,0,1,Unreliable,2021-04-01
Georgia,25-29,White,2022,7,July,7.3,1,0,Unreliable,2022-07-01
Virginia,30-34,White,2021,5,May,7.31,0,0,Unreliable,2021-05-01
Texas,15-19,White,2022,7,July,7.33,1,1,Unreliable,2022-07-01
Missouri,30-34,White,2022,7,July,7.34,1,0,Unreliable,2022-07-01
Ohio,20-24,White,2022,7,July,7.37,1,0,Unreliable,2022-07-01
Texas,15-19,White,2021,9,September,7.39,0,1,Unreliable,2021-09-01
Indiana,25-29,White,2021,6,June,7.42,0,1,Unreliable,2021-06-01
Ohio,20-24,White,2022,11,November,7.42,1,0,Unreliable,2022-11-01
Georgia,30-34,White,2021,4,April,7.45,0,0,Unreliable,2021-04-01
Ohio,20-24,White,2021,6,June,7.46,0,0,Unreliable,2021-06-01
Arizona,30-34,White,2021,1,January,7.47,0,0,Unreliable,2021-01-01
Pennsylvania,25-29,White,2022,6,June,7.49,1,0,Unreliable,2022-06-01
Arizona,30-34,White,2022,6,June,7.51,1,0,Unreliable,2022-06-01
Florida,30-34,Black or African American,2022,8,August,7.54,1,0,Unreliable,2022-08-01
Ohio,20-24,White,2022,8,August,7.54,1,0,Unreliable,2022-08-01
Florida,25-29,Black or African American,2022,12,December,7.57,1,0,Unreliable,2022-12-01
Missouri,25-29,White,2022,6,June,7.58,1,0,Unreliable,2022-06-01
Ohio,30-34,White,2021,7,July,7.59,0,0,Reliable,2021-07-01
Wisconsin,30-34,White,2022,8,August,7.64,1,0,Unreliable,2022-08-01
Ohio,25-29,White,2021,3,March,7.65,0,0,Reliable,2021-03-01
Ohio,25-29,White,2021,12,December,7.66,0,0,Unreliable,2021-12-01
Texas,15-19,White,2022,2,February,7.69,0,1,Unreliable,2022-02-01
Texas,15-19,White,2022,6,June,7.77,1,1,Unreliable,2022-06-01
Ohio,25-29,White,2022,2,February,7.78,0,0,Unreliable,2022-02-01
Texas,15-19,White,2022,12,December,7.78,1,1,Unreliable,2022-12-01
Texas,15-19,White,2021,7,July,7.8,0,1,Unreliable,2021-07-01
Indiana,25-29,White,2022,10,October,7.88,1,1,Unreliable,2022-10-01
Texas,25-29,Black or African American,2021,7,July,7.88,0,1,Unreliable,2021-07-01
Texas,25-29,Black or African American,2021,9,September,7.88,0,1,Unreliable,2021-09-01
Georgia,25-29,White,2021,4,April,7.9,0,0,Unreliable,2021-04-01
Pennsylvania,20-24,White,2021,10,October,7.9,0,0,Unreliable,2021-10-01
Texas,15-19,White,2021,2,February,7.95,0,1,Unreliable,2021-02-01
Florida,30-34,Black or African American,2022,9,September,8,1,0,Unreliable,2022-09-01
Indiana,20-24,White,2021,8,August,8.02,0,1,Unreliable,2021-08-01
Kentucky,25-29,White,2021,8,August,8.04,0,1,Unreliable,2021-08-01
Texas,25-29,Black or African American,2022,11,November,8.06,1,1,Unreliable,2022-11-01
Pennsylvania,20-24,White,2021,9,September,8.1,0,0,Unreliable,2021-09-01
Georgia,20-24,White,2022,12,December,8.12,1,0,Unreliable,2022-12-01
Washington,25-29,White,2021,1,January,8.15,0,0,Unreliable,2021-01-01
Texas,15-19,White,2021,5,May,8.15,0,1,Unreliable,2021-05-01
Missouri,30-34,White,2022,5,May,8.31,0,0,Unreliable,2022-05-01
North Carolina,25-29,White,2022,1,January,8.34,0,0,Unreliable,2022-01-01
Illinois,25-29,White,2022,10,October,8.36,1,0,Unreliable,2022-10-01
Florida,25-29,Black or African American,2022,6,June,8.37,1,0,Unreliable,2022-06-01
Ohio,20-24,White,2022,1,January,8.41,0,0,Unreliable,2022-01-01
Pennsylvania,25-29,White,2022,11,November,8.47,1,0,Unreliable,2022-11-01
Texas,30-34,Black or African American,2022,9,September,8.47,1,1,Unreliable,2022-09-01
Texas,20-24,White,2021,2,February,8.49,0,1,Reliable,2021-02-01
Minnesota,25-29,White,2021,4,April,8.49,0,0,Unreliable,2021-04-01
Ohio,20-24,White,2022,2,February,8.49,0,0,Unreliable,2022-02-01
Tennessee,20-24,White,2022,9,September,8.56,1,1,Unreliable,2022-09-01
Indiana,25-29,White,2022,4,April,8.58,0,1,Unreliable,2022-04-01
North Carolina,20-24,White,2021,9,September,8.59,0,0,Unreliable,2021-09-01
Pennsylvania,20-24,White,2022,5,May,8.61,0,0,Unreliable,2022-05-01
Indiana,25-29,White,2022,5,May,8.65,0,1,Unreliable,2022-05-01
Florida,25-29,Black or African American,2022,1,January,8.7,0,0,Unreliable,2022-01-01
Texas,25-29,Black or African American,2021,10,October,8.71,0,1,Unreliable,2021-10-01
Tennessee,20-24,White,2021,10,October,8.77,0,1,Unreliable,2021-10-01
Florida,30-34,Black or African American,2021,8,August,8.83,0,0,Unreliable,2021-08-01
Texas,15-19,White,2021,12,December,8.84,0,1,Unreliable,2021-12-01
Missouri,25-29,White,2021,2,February,8.87,0,0,Unreliable,2021-02-01
Michigan,20-24,White,2022,7,July,8.94,1,0,Unreliable,2022-07-01
Missouri,30-34,White,2022,1,January,8.96,0,0,Unreliable,2022-01-01
Texas,20-24,Black or African American,2022,8,August,8.98,1,1,Unreliable,2022-08-01
Florida,30-34,Black or African American,2021,11,November,9.01,0,0,Unreliable,2021-11-01
Indiana,30-34,White,2022,6,June,9.04,1,1,Unreliable,2022-06-01
North Carolina,20-24,White,2022,1,January,9.07,0,0,Unreliable,2022-01-01
Georgia,20-24,White,2022,9,September,9.13,1,0,Unreliable,2022-09-01
Michigan,20-24,White,2021,5,May,9.15,0,0,Unreliable,2021-05-01
Georgia,30-34,Black or African American,2022,8,August,9.19,1,0,Unreliable,2022-08-01
New York,30-34,Black or African American,2021,8,August,9.27,0,0,Unreliable,2021-08-01
Virginia,25-29,White,2021,7,July,9.28,0,0,Unreliable,2021-07-01
Georgia,20-24,White,2021,6,June,9.29,0,0,Unreliable,2021-06-01
Florida,30-34,Black or African American,2022,4,April,9.31,0,0,Unreliable,2022-04-01
Missouri,20-24,White,2022,8,August,9.36,1,0,Unreliable,2022-08-01
Florida,20-24,White,2022,7,July,9.39,1,0,Reliable,2022-07-01
Missouri,30-34,White,2021,10,October,9.41,0,0,Unreliable,2021-10-01
Pennsylvania,20-24,White,2022,3,March,9.48,0,0,Unreliable,2022-03-01
Texas,25-29,Black or African American,2022,9,September,9.63,1,1,Unreliable,2022-09-01
Tennessee,20-24,White,2022,5,May,9.65,0,1,Unreliable,2022-05-01
Illinois,20-24,White,2021,4,April,9.69,0,0,Unreliable,2021-04-01
Arizona,20-24,White,2021,3,March,9.7,0,0,Unreliable,2021-03-01
Ohio,20-24,White,2021,2,February,9.71,0,0,Unreliable,2021-02-01
Ohio,25-29,White,2022,3,March,9.74,0,0,Reliable,2022-03-01
Illinois,20-24,White,2022,10,October,9.75,1,0,Unreliable,2022-10-01
Texas,25-29,Black or African American,2021,8,August,9.77,0,1,Unreliable,2021-08-01
Pennsylvania,20-24,White,2022,7,July,9.8,1,0,Unreliable,2022-07-01
Florida,30-34,Black or African American,2022,7,July,9.85,1,0,Unreliable,2022-07-01
Michigan,20-24,White,2022,5,May,9.86,0,0,Unreliable,2022-05-01
Florida,30-34,Black or African American,2021,4,April,9.88,0,0,Unreliable,2021-04-01
Ohio,20-24,White,2022,5,May,9.96,0,0,Unreliable,2022-05-01
Arizona,20-24,White,2022,12,December,9.96,1,0,Unreliable,2022-12-01
Georgia,20-24,White,2021,10,October,9.98,0,0,Unreliable,2021-10-01
Georgia,25-29,Black or African American,2022,10,October,10.11,1,0,Unreliable,2022-10-01
Texas,25-29,Black or African American,2021,12,December,10.17,0,1,Unreliable,2021-12-01
Georgia,25-29,Black or African American,2022,12,December,10.19,1,0,Unreliable,2022-12-01
Texas,25-29,Black or African American,2022,7,July,10.29,1,1,Unreliable,2022-07-01
Florida,25-29,Black or African American,2021,11,November,10.32,0,0,Unreliable,2021-11-01
Florida,25-29,Black or African American,2021,9,September,10.35,0,0,Unreliable,2021-09-01
Tennessee,20-24,White,2021,1,January,10.39,0,1,Unreliable,2021-01-01
Texas,15-19,White,2021,11,November,10.4,0,1,Unreliable,2021-11-01
North Carolina,20-24,White,2021,1,January,10.44,0,0,Unreliable,2021-01-01
Indiana,20-24,White,2021,3,March,10.45,0,1,Unreliable,2021-03-01
Indiana,20-24,White,2022,6,June,10.46,1,1,Unreliable,2022-06-01
Florida,20-24,Black or African American,2021,12,December,10.47,0,0,Unreliable,2021-12-01
Michigan,20-24,White,2022,6,June,10.49,1,0,Unreliable,2022-06-01
Georgia,30-34,Black or African American,2022,7,July,10.52,1,0,Unreliable,2022-07-01
Florida,30-34,Black or African American,2021,12,December,10.55,0,0,Unreliable,2021-12-01
Georgia,25-29,Black or African American,2022,6,June,10.56,1,0,Unreliable,2022-06-01
Missouri,20-24,White,2022,6,June,10.57,1,0,Unreliable,2022-06-01
Florida,30-34,Black or African American,2022,5,May,10.59,0,0,Unreliable,2022-05-01
Georgia,25-29,Black or African American,2022,3,March,10.62,0,0,Unreliable,2022-03-01
Florida,30-34,Black or African American,2021,7,July,10.63,0,0,Unreliable,2021-07-01
Kentucky,25-29,White,2021,1,January,10.68,0,1,Unreliable,2021-01-01
Georgia,25-29,Black or African American,2022,8,August,10.7,1,0,Unreliable,2022-08-01
New York,30-34,Black or African American,2021,5,May,10.76,0,0,Unreliable,2021-05-01
Texas,20-24,Black or African American,2022,1,January,10.8,0,1,Unreliable,2022-01-01
Florida,20-24,Black or African American,2021,7,July,10.82,0,0,Unreliable,2021-07-01
Florida,30-34,Black or African American,2022,12,December,10.88,1,0,Unreliable,2022-12-01
Florida,25-29,Black or African American,2022,9,September,10.89,1,0,Unreliable,2022-09-01
Texas,25-29,Black or African American,2022,6,June,10.9,1,1,Unreliable,2022-06-01
Georgia,25-29,Black or African American,2021,2,February,10.92,0,0,Unreliable,2021-02-01
New York,30-34,Black or African American,2022,12,December,10.97,1,0,Unreliable,2022-12-01
Pennsylvania,20-24,White,2022,11,November,10.97,1,0,Unreliable,2022-11-01
Tennessee,20-24,White,2022,1,January,10.99,0,1,Unreliable,2022-01-01
Florida,20-24,Black or African American,2021,10,October,11.01,0,0,Unreliable,2021-10-01
Texas,15-19,White,2022,4,April,11.08,0,1,Unreliable,2022-04-01
Kentucky,20-24,White,2022,10,October,11.1,1,1,Unreliable,2022-10-01
Texas,30-34,Black or African American,2022,4,April,11.11,0,1,Unreliable,2022-04-01
Texas,25-29,Black or African American,2021,1,January,11.14,0,1,Unreliable,2021-01-01
Pennsylvania,20-24,White,2022,2,February,11.17,0,0,Unreliable,2022-02-01
California,15-19,White,2021,12,December,11.2,0,0,Unreliable,2021-12-01
Georgia,25-29,Black or African American,2022,9,September,11.21,1,0,Unreliable,2022-09-01
Texas,25-29,Black or African American,2021,4,April,11.21,0,1,Unreliable,2021-04-01
Georgia,30-34,Black or African American,2022,10,October,11.22,1,0,Unreliable,2022-10-01
Florida,25-29,Black or African American,2022,11,November,11.24,1,0,Unreliable,2022-11-01
Texas,20-24,Black or African American,2022,11,November,11.27,1,1,Unreliable,2022-11-01
Florida,30-34,Black or African American,2022,6,June,11.28,1,0,Unreliable,2022-06-01
Kentucky,20-24,White,2021,4,April,11.33,0,1,Unreliable,2021-04-01
Ohio,20-24,White,2021,1,January,11.42,0,0,Unreliable,2021-01-01
Illinois,20-24,White,2021,3,March,11.45,0,0,Unreliable,2021-03-01
Florida,30-34,Black or African American,2021,10,October,11.46,0,0,Unreliable,2021-10-01
New York,30-34,Black or African American,2021,12,December,11.46,0,0,Unreliable,2021-12-01
New York,30-34,Black or African American,2022,7,July,11.54,1,0,Unreliable,2022-07-01
Texas,15-19,White,2022,10,October,11.58,1,1,Unreliable,2022-10-01
Texas,20-24,Black or African American,2022,6,June,11.62,1,1,Unreliable,2022-06-01
Texas,20-24,Black or African American,2021,10,October,11.63,0,1,Unreliable,2021-10-01
Texas,20-24,Black or African American,2021,3,March,11.63,0,1,Unreliable,2021-03-01
Florida,25-29,Black or African American,2021,4,April,11.65,0,0,Unreliable,2021-04-01
Texas,25-29,Black or African American,2022,1,January,11.73,0,1,Unreliable,2022-01-01
Georgia,20-24,Black or African American,2021,7,July,11.75,0,0,Unreliable,2021-07-01
Georgia,30-34,Black or African American,2021,12,December,11.76,0,0,Unreliable,2021-12-01
Washington,20-24,White,2021,5,May,11.88,0,0,Unreliable,2021-05-01
Florida,25-29,Black or African American,2021,6,June,11.88,0,0,Unreliable,2021-06-01
Tennessee,20-24,White,2021,3,March,11.93,0,1,Unreliable,2021-03-01
Ohio,20-24,White,2021,5,May,11.99,0,0,Unreliable,2021-05-01
Texas,30-34,Black or African American,2021,12,December,12.03,0,1,Unreliable,2021-12-01
Texas,25-29,Black or African American,2022,12,December,12.04,1,1,Unreliable,2022-12-01
Georgia,20-24,Black or African American,2021,12,December,12.07,0,0,Unreliable,2021-12-01
Georgia,30-34,Black or African American,2022,9,September,12.18,1,0,Unreliable,2022-09-01
Georgia,20-24,Black or African American,2022,12,December,12.22,1,0,Unreliable,2022-12-01
Florida,20-24,Black or African American,2022,5,May,12.24,0,0,Unreliable,2022-05-01
Tennessee,20-24,White,2021,2,February,12.31,0,1,Unreliable,2021-02-01
Texas,20-24,Black or African American,2021,4,April,12.44,0,1,Unreliable,2021-04-01
Texas,30-34,Black or African American,2022,3,March,12.46,0,1,Unreliable,2022-03-01
Utah,30-34,White,2021,4,April,12.47,0,0,Unreliable,2021-04-01
New York,30-34,Black or African American,2021,11,November,12.61,0,0,Unreliable,2021-11-01
Texas,20-24,Black or African American,2021,9,September,12.66,0,1,Unreliable,2021-09-01
Texas,25-29,Black or African American,2022,10,October,12.69,1,1,Unreliable,2022-10-01
Texas,30-34,Black or African American,2022,1,January,12.77,0,1,Unreliable,2022-01-01
Georgia,30-34,Black or African American,2021,2,February,12.77,0,0,Unreliable,2021-02-01
Florida,25-29,Black or African American,2021,5,May,12.77,0,0,Unreliable,2021-05-01
Texas,25-29,Black or African American,2021,3,March,12.84,0,1,Unreliable,2021-03-01
Florida,25-29,Black or African American,2021,8,August,12.88,0,0,Unreliable,2021-08-01
Georgia,25-29,Black or African American,2021,10,October,12.9,0,0,Unreliable,2021-10-01
Florida,30-34,Black or African American,2021,5,May,12.96,0,0,Unreliable,2021-05-01
Florida,20-24,Black or African American,2022,9,September,12.97,1,0,Unreliable,2022-09-01
Georgia,20-24,Black or African American,2022,7,July,12.97,1,0,Unreliable,2022-07-01
Georgia,20-24,Black or African American,2021,2,February,12.99,0,0,Unreliable,2021-02-01
Georgia,20-24,Black or African American,2021,9,September,13.07,0,0,Unreliable,2021-09-01
Illinois,20-24,White,2021,5,May,13.09,0,0,Unreliable,2021-05-01
Texas,30-34,Black or African American,2022,10,October,13.23,1,1,Unreliable,2022-10-01
Florida,25-29,Black or African American,2022,7,July,13.23,1,0,Unreliable,2022-07-01
Arizona,25-29,White,2022,5,May,13.26,0,0,Unreliable,2022-05-01
Georgia,20-24,Black or African American,2022,4,April,13.32,0,0,Unreliable,2022-04-01
Texas,30-34,Black or African American,2021,4,April,13.36,0,1,Unreliable,2021-04-01
Texas,30-34,Black or African American,2021,1,January,13.37,0,1,Unreliable,2021-01-01
Georgia,25-29,Black or African American,2021,3,March,13.38,0,0,Unreliable,2021-03-01
North Carolina,25-29,Black or African American,2021,8,August,13.41,0,0,Unreliable,2021-08-01
Texas,20-24,Black or African American,2022,4,April,13.5,0,1,Unreliable,2022-04-01
Florida,20-24,Black or African American,2021,8,August,13.58,0,0,Unreliable,2021-08-01
Texas,25-29,Black or African American,2022,3,March,13.61,0,1,Unreliable,2022-03-01
Georgia,25-29,Black or African American,2022,5,May,13.63,0,0,Unreliable,2022-05-01
Missouri,20-24,White,2022,2,February,13.72,0,0,Unreliable,2022-02-01
Georgia,30-34,Black or African American,2021,4,April,13.75,0,0,Unreliable,2021-04-01
Colorado,20-24,White,2021,7,July,13.85,0,0,Unreliable,2021-07-01
Florida,25-29,Black or African American,2022,5,May,14.01,0,0,Unreliable,2022-05-01
North Carolina,25-29,Black or African American,2022,1,January,14.1,0,0,Unreliable,2022-01-01
Oklahoma,20-24,White,2021,5,May,14.12,0,1,Unreliable,2021-05-01
New York,25-29,Black or African American,2021,1,January,14.21,0,0,Unreliable,2021-01-01
Florida,25-29,Black or African American,2022,10,October,14.21,1,0,Unreliable,2022-10-01
Florida,25-29,Black or African American,2021,1,January,14.41,0,0,Unreliable,2021-01-01
Texas,30-34,Black or African American,2021,5,May,14.45,0,1,Unreliable,2021-05-01
Texas,25-29,Black or African American,2022,4,April,14.47,0,1,Unreliable,2022-04-01
Georgia,20-24,Black or African American,2021,4,April,14.49,0,0,Unreliable,2021-04-01
North Carolina,20-24,Black or African American,2022,7,July,14.53,1,0,Unreliable,2022-07-01
Nevada,25-29,White,2021,8,August,14.56,0,0,Unreliable,2021-08-01
Florida,20-24,Black or African American,2022,6,June,14.6,1,0,Unreliable,2022-06-01
North Carolina,25-29,Black or African American,2021,6,June,14.71,0,0,Unreliable,2021-06-01
Florida,25-29,Black or African American,2021,12,December,14.86,0,0,Unreliable,2021-12-01
Georgia,20-24,Black or African American,2022,10,October,14.91,1,0,Unreliable,2022-10-01
Texas,20-24,Black or African American,2021,7,July,15.27,0,1,Unreliable,2021-07-01
Florida,20-24,Black or African American,2022,12,December,15.28,1,0,Unreliable,2022-12-01
Tennessee,20-24,White,2022,6,June,15.81,1,1,Unreliable,2022-06-01
Florida,25-29,Black or African American,2021,7,July,15.84,0,0,Reliable,2021-07-01
Georgia,20-24,Black or African American,2022,3,March,15.98,0,0,Unreliable,2022-03-01
Texas,20-24,Black or African American,2022,5,May,16.22,0,1,Unreliable,2022-05-01
Georgia,20-24,Black or African American,2022,5,May,16.35,0,0,Unreliable,2022-05-01
North Carolina,25-29,Black or African American,2022,8,August,16.37,1,0,Unreliable,2022-08-01
Florida,20-24,Black or African American,2022,8,August,16.45,1,0,Unreliable,2022-08-01
Florida,20-24,Black or African American,2021,11,November,16.5,0,0,Unreliable,2021-11-01
North Carolina,20-24,Black or African American,2021,5,May,16.5,0,0,Unreliable,2021-05-01
Florida,25-29,Black or African American,2022,2,February,16.58,0,0,Unreliable,2022-02-01
Texas,25-29,Black or African American,2022,2,February,16.61,0,1,Unreliable,2022-02-01
Washington,20-24,White,2022,5,May,16.69,0,0,Unreliable,2022-05-01
Georgia,25-29,Black or African American,2022,2,February,16.74,0,0,Unreliable,2022-02-01
North Carolina,30-34,Black or African American,2021,8,August,16.95,0,0,Unreliable,2021-08-01
North Carolina,30-34,Black or African American,2022,5,May,16.95,0,0,Unreliable,2022-05-01
Louisiana,25-29,Black or African American,2021,3,March,16.98,0,1,Unreliable,2021-03-01
Texas,20-24,Black or African American,2022,2,February,17.03,0,1,Unreliable,2022-02-01
North Carolina,20-24,Black or African American,2022,8,August,17.66,1,0,Unreliable,2022-08-01
Ohio,25-29,Black or African American,2021,7,July,18.08,0,0,Unreliable,2021-07-01
California,15-19,White,2021,11,November,18.29,0,0,Unreliable,2021-11-01
Florida,20-24,Black or African American,2022,11,November,18.44,1,0,Unreliable,2022-11-01
North Carolina,25-29,Black or African American,2022,3,March,18.52,0,0,Unreliable,2022-03-01
Louisiana,20-24,Black or African American,2022,9,September,19.69,1,1,Unreliable,2022-09-01
North Carolina,20-24,Black or African American,2021,10,October,19.79,0,0,Unreliable,2021-10-01
North Carolina,25-29,Black or African American,2022,4,April,19.85,0,0,Unreliable,2022-04-01
Illinois,25-29,Black or African American,2021,3,March,20.04,0,0,Unreliable,2021-03-01
Florida,20-24,Black or African American,2022,10,October,20.07,1,0,Unreliable,2022-10-01
Maryland,30-34,Black or African American,2022,10,October,20.26,1,0,Unreliable,2022-10-01
Georgia,30-34,Black or African American,2022,5,May,20.48,0,0,Unreliable,2022-05-01
Ohio,20-24,Black or African American,2022,12,December,20.66,1,0,Unreliable,2022-12-01
Virginia,30-34,Black or African American,2021,10,October,20.83,0,0,Unreliable,2021-10-01
North Carolina,30-34,Black or African American,2021,10,October,21.14,0,0,Unreliable,2021-10-01
Ohio,20-24,Black or African American,2022,6,June,21.46,1,0,Unreliable,2022-06-01
Michigan,25-29,Black or African American,2021,8,August,21.66,0,0,Unreliable,2021-08-01
Ohio,30-34,Black or African American,2021,5,May,21.98,0,0,Unreliable,2021-05-01
Louisiana,20-24,Black or African American,2021,5,May,22.13,0,1,Unreliable,2021-05-01
Ohio,25-29,Black or African American,2021,5,May,22.18,0,0,Unreliable,2021-05-01
Virginia,25-29,Black or African American,2022,5,May,22.37,0,0,Unreliable,2022-05-01
Michigan,20-24,Black or African American,2021,6,June,23.36,0,0,Unreliable,2021-06-01
Michigan,30-34,Black or African American,2021,7,July,24.57,0,0,Unreliable,2021-07-01
South Carolina,20-24,Black or African American,2021,11,November,26.04,0,0,Unreliable,2021-11-01
Illinois,25-29,Black or African American,2021,1,January,26.32,0,0,Unreliable,2021-01-01
Mississippi,20-24,Black or African American,2022,6,June,27.1,1,1,Unreliable,2022-06-01
Virginia,30-34,Black or African American,2022,1,January,27.36,0,0,Unreliable,2022-01-01
Mississippi,20-24,Black or African American,2022,7,July,27.4,1,1,Unreliable,2022-07-01
Illinois,20-24,Black or African American,2021,3,March,27.84,0,0,Unreliable,2021-03-01
Michigan,20-24,Black or African American,2021,11,November,27.93,0,0,Unreliable,2021-11-01
Michigan,25-29,Black or African American,2021,2,February,30.77,0,0,Unreliable,2021-02-01
Mississippi,20-24,Black or African American,2021,9,September,32.26,0,1,Unreliable,2021-09-01
Ohio,30-34,Black or African American,2021,2,February,33.16,0,0,Unreliable,2021-02-01
