state,age_of_mother,mothers_single_race,year_of_death,month_code,month,death_rate,after_injunction,abortion_illegal,reliable,date
New York,30-34,White,2022,5,May,3.79,0,0,Unreliable,2022-05-01
Florida,25-29,White,2022,3,March,3.79,0,0,Unreliable,2022-03-01
Texas,30-34,White,2022,6,June,3.81,1,1,Reliable,2022-06-01
California,30-34,White,2021,6,June,3.81,0,0,Reliable,2021-06-01
California,20-24,White,2022,11,November,3.82,1,0,Unreliable,2022-11-01
Pennsylvania,30-34,White,2022,8,August,3.84,1,0,Unreliable,2022-08-01
Illinois,30-34,White,2021,8,August,3.89,0,0,Unreliable,2021-08-01
New York,30-34,White,2022,6,June,3.89,1,0,Unreliable,2022-06-01
California,25-29,White,2021,3,March,3.9,0,0,Reliable,2021-03-01
Texas,20-24,White,2022,8,August,3.9,1,1,Reliable,2022-08-01
Texas,25-29,White,2021,6,June,3.91,0,1,Reliable,2021-06-01
California,25-29,White,2022,12,December,3.91,1,0,Reliable,2022-12-01
California,30-34,White,2022,3,March,3.92,0,0,Reliable,2022-03-01
Ohio,30-34,White,2021,4,April,3.93,0,0,Unreliable,2021-04-01
Florida,30-34,White,2022,2,February,3.93,0,0,Unreliable,2022-02-01
Texas,25-29,White,2021,10,October,3.94,0,1,Reliable,2021-10-01
Ohio,30-34,White,2021,6,June,3.95,0,0,Unreliable,2021-06-01
Pennsylvania,25-29,White,2021,8,August,3.97,0,0,Unreliable,2021-08-01
Illinois,30-34,White,2022,5,May,3.98,0,0,Unreliable,2022-05-01
Texas,25-29,White,2022,6,June,3.99,1,1,Reliable,2022-06-01
Texas,30-34,White,2022,9,September,3.99,1,1,Reliable,2022-09-01
Michigan,30-34,White,2021,6,June,3.99,0,0,Unreliable,2021-06-01
California,25-29,White,2021,5,May,4,0,0,Reliable,2021-05-01
New York,25-29,White,2021,6,June,4,0,0,Unreliable,2021-06-01
Illinois,30-34,White,2022,8,August,4.02,1,0,Unreliable,2022-08-01
New York,25-29,White,2021,2,February,4.03,0,0,Unreliable,2021-02-01
Florida,30-34,White,2021,10,October,4.07,0,0,Unreliable,2021-10-01
Ohio,30-34,White,2021,10,October,4.1,0,0,Unreliable,2021-10-01
Illinois,30-34,White,2021,1,January,4.13,0,0,Unreliable,2021-01-01
California,25-29,White,2022,5,May,4.13,0,0,Reliable,2022-05-01
Texas,30-34,White,2022,1,January,4.15,0,1,Reliable,2022-01-01
Texas,25-29,White,2021,8,August,4.15,0,1,Reliable,2021-08-01
Texas,20-24,White,2021,4,April,4.16,0,1,Reliable,2021-04-01
Texas,30-34,White,2021,8,August,4.17,0,1,Reliable,2021-08-01
Texas,30-34,White,2022,4,April,4.18,0,1,Reliable,2022-04-01
Texas,30-34,White,2021,4,April,4.18,0,1,Reliable,2021-04-01
Florida,30-34,White,2021,6,June,4.19,0,0,Unreliable,2021-06-01
Texas,25-29,White,2022,11,November,4.19,1,1,Reliable,2022-11-01
Illinois,25-29,White,2021,6,June,4.2,0,0,Unreliable,2021-06-01
Texas,30-34,White,2022,2,February,4.21,0,1,Reliable,2022-02-01
Ohio,25-29,White,2022,6,June,4.23,1,0,Unreliable,2022-06-01
California,25-29,White,2022,7,July,4.23,1,0,Reliable,2022-07-01
New York,30-34,White,2022,7,July,4.24,1,0,Unreliable,2022-07-01
Florida,25-29,White,2022,12,December,4.25,1,0,Unreliable,2022-12-01
California,20-24,White,2021,1,January,4.25,0,0,Unreliable,2021-01-01
Florida,30-34,White,2022,6,June,4.26,1,0,Unreliable,2022-06-01
Ohio,30-34,White,2022,10,October,4.3,1,0,Unreliable,2022-10-01
Texas,20-24,White,2021,12,December,4.31,0,1,Reliable,2021-12-01
Ohio,30-34,White,2022,12,December,4.31,1,0,Unreliable,2022-12-01
Texas,30-34,White,2021,3,March,4.33,0,1,Reliable,2021-03-01
California,20-24,White,2022,9,September,4.33,1,0,Unreliable,2022-09-01
Texas,25-29,White,2022,8,August,4.34,1,1,Reliable,2022-08-01
Illinois,25-29,White,2022,8,August,4.35,1,0,Unreliable,2022-08-01
California,20-24,White,2022,10,October,4.35,1,0,Unreliable,2022-10-01
Ohio,30-34,White,2022,5,May,4.35,0,0,Unreliable,2022-05-01
Ohio,25-29,White,2021,7,July,4.37,0,0,Unreliable,2021-07-01
Texas,20-24,White,2021,9,September,4.38,0,1,Reliable,2021-09-01
Florida,30-34,White,2022,3,March,4.38,0,0,Unreliable,2022-03-01
California,20-24,White,2022,1,January,4.39,0,0,Unreliable,2022-01-01
Pennsylvania,30-34,White,2021,11,November,4.39,0,0,Unreliable,2021-11-01
Texas,25-29,White,2021,9,September,4.4,0,1,Reliable,2021-09-01
New York,25-29,White,2021,1,January,4.41,0,0,Unreliable,2021-01-01
Pennsylvania,25-29,White,2022,12,December,4.41,1,0,Unreliable,2022-12-01
Pennsylvania,25-29,White,2022,5,May,4.41,0,0,Unreliable,2022-05-01
Michigan,30-34,White,2021,7,July,4.41,0,0,Unreliable,2021-07-01
Florida,25-29,White,2021,6,June,4.42,0,0,Unreliable,2021-06-01
Texas,20-24,White,2022,2,February,4.42,0,1,Reliable,2022-02-01
Michigan,25-29,White,2021,7,July,4.43,0,0,Unreliable,2021-07-01
California,25-29,White,2021,8,August,4.43,0,0,Reliable,2021-08-01
Texas,30-34,White,2021,5,May,4.44,0,1,Reliable,2021-05-01
Texas,20-24,White,2022,9,September,4.44,1,1,Reliable,2022-09-01
Florida,25-29,White,2022,4,April,4.47,0,0,Unreliable,2022-04-01
California,20-24,White,2021,4,April,4.47,0,0,Unreliable,2021-04-01
Florida,25-29,White,2022,11,November,4.49,1,0,Unreliable,2022-11-01
Pennsylvania,30-34,White,2021,6,June,4.5,0,0,Unreliable,2021-06-01
Illinois,30-34,White,2022,12,December,4.52,1,0,Unreliable,2022-12-01
California,20-24,White,2022,12,December,4.52,1,0,Unreliable,2022-12-01
New York,25-29,White,2022,12,December,4.53,1,0,Unreliable,2022-12-01
Illinois,30-34,White,2021,10,October,4.54,0,0,Unreliable,2021-10-01
Ohio,25-29,White,2022,11,November,4.58,1,0,Unreliable,2022-11-01
California,20-24,White,2022,4,April,4.59,0,0,Unreliable,2022-04-01
Texas,25-29,White,2022,10,October,4.61,1,1,Reliable,2022-10-01
California,30-34,Asian,2022,7,July,4.61,1,0,Unreliable,2022-07-01
Florida,20-24,White,2022,11,November,4.61,1,0,Unreliable,2022-11-01
Michigan,25-29,White,2021,6,June,4.63,0,0,Unreliable,2021-06-01
Texas,20-24,White,2021,3,March,4.63,0,1,Reliable,2021-03-01
California,30-34,White,2022,12,December,4.63,1,0,Reliable,2022-12-01
Texas,30-34,White,2022,7,July,4.64,1,1,Reliable,2022-07-01
Texas,25-29,White,2022,9,September,4.65,1,1,Reliable,2022-09-01
Florida,30-34,White,2021,5,May,4.66,0,0,Unreliable,2021-05-01
Texas,30-34,White,2021,6,June,4.66,0,1,Reliable,2021-06-01
Texas,25-29,White,2022,3,March,4.67,0,1,Reliable,2022-03-01
Pennsylvania,25-29,White,2022,1,January,4.69,0,0,Unreliable,2022-01-01
Florida,30-34,White,2022,9,September,4.7,1,0,Reliable,2022-09-01
Pennsylvania,30-34,White,2021,1,January,4.71,0,0,Unreliable,2021-01-01
Ohio,25-29,White,2022,10,October,4.71,1,0,Unreliable,2022-10-01
Texas,30-34,White,2022,12,December,4.73,1,1,Reliable,2022-12-01
California,20-24,White,2022,7,July,4.73,1,0,Reliable,2022-07-01
Pennsylvania,30-34,White,2021,12,December,4.77,0,0,Unreliable,2021-12-01
Texas,25-29,White,2022,4,April,4.77,0,1,Reliable,2022-04-01
Texas,25-29,White,2022,7,July,4.77,1,1,Reliable,2022-07-01
Florida,30-34,White,2022,7,July,4.78,1,0,Reliable,2022-07-01
Pennsylvania,25-29,White,2021,5,May,4.78,0,0,Unreliable,2021-05-01
Florida,30-34,White,2022,8,August,4.79,1,0,Reliable,2022-08-01
Texas,20-24,White,2022,11,November,4.79,1,1,Reliable,2022-11-01
Texas,30-34,White,2021,2,February,4.8,0,1,Reliable,2021-02-01
Florida,20-24,White,2022,3,March,4.8,0,0,Unreliable,2022-03-01
Florida,30-34,White,2022,1,January,4.81,0,0,Reliable,2022-01-01
Ohio,30-34,White,2021,8,August,4.81,0,0,Unreliable,2021-08-01
California,20-24,White,2022,3,March,4.82,0,0,Unreliable,2022-03-01
Pennsylvania,25-29,White,2022,8,August,4.82,1,0,Unreliable,2022-08-01
Pennsylvania,30-34,White,2021,3,March,4.82,0,0,Unreliable,2021-03-01
Ohio,25-29,White,2022,12,December,4.83,1,0,Unreliable,2022-12-01
Florida,20-24,White,2021,10,October,4.83,0,0,Unreliable,2021-10-01
California,30-34,White,2021,1,January,4.83,0,0,Reliable,2021-01-01
North Carolina,30-34,White,2021,11,November,4.84,0,0,Unreliable,2021-11-01
Ohio,30-34,White,2022,9,September,4.84,1,0,Unreliable,2022-09-01
Florida,20-24,White,2021,11,November,4.84,0,0,Unreliable,2021-11-01
Michigan,25-29,White,2022,7,July,4.85,1,0,Unreliable,2022-07-01
North Carolina,30-34,White,2022,4,April,4.85,0,0,Unreliable,2022-04-01
California,20-24,White,2021,9,September,4.87,0,0,Reliable,2021-09-01
Michigan,30-34,White,2022,5,May,4.88,0,0,Unreliable,2022-05-01
North Carolina,30-34,White,2022,5,May,4.9,0,0,Unreliable,2022-05-01
Texas,25-29,White,2021,5,May,4.91,0,1,Reliable,2021-05-01
Pennsylvania,30-34,White,2022,7,July,4.91,1,0,Unreliable,2022-07-01
Florida,25-29,White,2021,9,September,4.91,0,0,Unreliable,2021-09-01
Illinois,30-34,White,2022,2,February,4.93,0,0,Unreliable,2022-02-01
Ohio,30-34,White,2021,2,February,4.93,0,0,Unreliable,2021-02-01
California,30-34,White,2022,8,August,4.94,1,0,Reliable,2022-08-01
Texas,25-29,White,2022,12,December,4.95,1,1,Reliable,2022-12-01
Illinois,25-29,White,2021,3,March,4.95,0,0,Unreliable,2021-03-01
