"","Notes","State","State.Code","Age.of.Mother.9","Age.of.Mother.9.Code","Mother.s.Single.Race.6","Mother.s.Single.Race.6.Code","Year.of.Death","Year.of.Death.Code","Month","Month.Code","Deaths","Births","Death.Rate"
"58","","California",6,"30-34 years","30-34","White","2106-3",2021,2021,"October",10,30,8577,"3.50"
"59","","California",6,"25-29 years","25-29","White","2106-3",2021,2021,"June",6,24,6856,"3.50"
"60","","California",6,"20-24 years","20-24","White","2106-3",2021,2021,"May",5,14,3981,"3.52 (Unreliable)"
"61","","Texas",48,"25-29 years","25-29","White","2106-3",2022,2022,"February",2,24,6808,"3.53"
"62","","California",6,"25-29 years","25-29","White","2106-3",2022,2022,"October",10,24,6805,"3.53"
"63","","New York",36,"30-34 years","30-34","White","2106-3",2021,2021,"May",5,15,4243,"3.54 (Unreliable)"
"64","","California",6,"30-34 years","30-34","White","2106-3",2021,2021,"December",12,30,8479,"3.54"
"65","","Florida",12,"30-34 years","30-34","White","2106-3",2022,2022,"April",4,14,3954,"3.54 (Unreliable)"
"66","","Florida",12,"25-29 years","25-29","White","2106-3",2021,2021,"January",1,12,3381,"3.55 (Unreliable)"
"67","","Texas",48,"25-29 years","25-29","White","2106-3",2021,2021,"December",12,28,7852,"3.57"
"68","","California",6,"25-29 years","25-29","White","2106-3",2021,2021,"November",11,25,6958,"3.59"
"69","","California",6,"30-34 years","30-34","White","2106-3",2021,2021,"February",2,25,6897,"3.62"
"70","","Texas",48,"30-34 years","30-34","White","2106-3",2021,2021,"January",1,22,6069,"3.62"
"71","","Pennsylvania",42,"30-34 years","30-34","White","2106-3",2022,2022,"March",3,10,2755,"3.63 (Unreliable)"
"72","","Florida",12,"30-34 years","30-34","White","2106-3",2022,2022,"December",12,16,4404,"3.63 (Unreliable)"
"73","","Texas",48,"30-34 years","30-34","White","2106-3",2021,2021,"September",9,26,7156,"3.63"
"74","","California",6,"25-29 years","25-29","White","2106-3",2022,2022,"August",8,27,7425,"3.64"
"75","","New York",36,"25-29 years","25-29","White","2106-3",2022,2022,"May",5,10,2748,"3.64 (Unreliable)"
"76","","California",6,"30-34 years","30-34","White","2106-3",2021,2021,"May",5,29,7961,"3.64"
"77","","California",6,"30-34 years","30-34","White","2106-3",2021,2021,"April",4,28,7684,"3.64"
"78","","California",6,"25-29 years","25-29","White","2106-3",2022,2022,"June",6,25,6858,"3.65"
"79","","Florida",12,"25-29 years","25-29","White","2106-3",2022,2022,"January",1,13,3563,"3.65 (Unreliable)"
