"","Notes","State","State.Code","Age.of.Mother.9","Age.of.Mother.9.Code","Mother.s.Single.Race.6","Mother.s.Single.Race.6.Code","Year.of.Death","Year.of.Death.Code","Month","Month.Code","Deaths","Births","Death.Rate"
"244","","Illinois",17,"25-29 years","25-29","White","2106-3",2022,2022,"November",11,11,2099,"5.24 (Unreliable)"
"245","","Michigan",26,"30-34 years","30-34","White","2106-3",2021,2021,"December",12,11,2097,"5.25 (Unreliable)"
"246","","Ohio",39,"25-29 years","25-29","White","2106-3",2021,2021,"June",6,14,2667,"5.25 (Unreliable)"
"247","","North Carolina",37,"25-29 years","25-29","White","2106-3",2022,2022,"March",3,10,1902,"5.26 (Unreliable)"
"248","","Ohio",39,"25-29 years","25-29","White","2106-3",2022,2022,"April",4,13,2465,"5.27 (Unreliable)"
"249","","Texas",48,"30-34 years","30-34","White","2106-3",2022,2022,"November",11,37,7014,"5.28"
"250","","Florida",12,"30-34 years","30-34","White","2106-3",2022,2022,"October",10,23,4358,"5.28"
"251","","Texas",48,"25-29 years","25-29","White","2106-3",2021,2021,"January",1,35,6629,"5.28"
"252","","Michigan",26,"30-34 years","30-34","White","2106-3",2021,2021,"May",5,12,2271,"5.28 (Unreliable)"
"253","","California",6,"25-29 years","25-29","White","2106-3",2022,2022,"April",4,33,6237,"5.29"
"254","","Florida",12,"25-29 years","25-29","White","2106-3",2021,2021,"July",7,19,3586,"5.30 (Unreliable)"
"255","","Virginia",51,"30-34 years","30-34","White","2106-3",2021,2021,"September",9,10,1886,"5.30 (Unreliable)"
"256","","Ohio",39,"25-29 years","25-29","White","2106-3",2021,2021,"April",4,13,2450,"5.31 (Unreliable)"
"257","","Texas",48,"25-29 years","25-29","White","2106-3",2022,2022,"May",5,37,6950,"5.32"
"258","","North Carolina",37,"25-29 years","25-29","White","2106-3",2022,2022,"June",6,10,1876,"5.33 (Unreliable)"
"259","","Illinois",17,"30-34 years","30-34","White","2106-3",2022,2022,"April",4,14,2621,"5.34 (Unreliable)"
"260","","Florida",12,"20-24 years","20-24","White","2106-3",2022,2022,"June",6,11,2058,"5.34 (Unreliable)"
"261","","California",6,"20-24 years","20-24","White","2106-3",2022,2022,"August",8,23,4299,"5.35"
"262","","North Carolina",37,"25-29 years","25-29","White","2106-3",2021,2021,"November",11,10,1866,"5.36 (Unreliable)"
"263","","North Carolina",37,"25-29 years","25-29","White","2106-3",2022,2022,"November",11,10,1861,"5.37 (Unreliable)"
"264","","Texas",48,"20-24 years","20-24","White","2106-3",2022,2022,"January",1,29,5387,"5.38"
"265","","Illinois",17,"25-29 years","25-29","White","2106-3",2021,2021,"May",5,12,2227,"5.39 (Unreliable)"
"266","","Florida",12,"25-29 years","25-29","White","2106-3",2022,2022,"June",6,19,3514,"5.41 (Unreliable)"
"267","","North Carolina",37,"25-29 years","25-29","White","2106-3",2022,2022,"July",7,11,2031,"5.42 (Unreliable)"
"268","","North Carolina",37,"25-29 years","25-29","White","2106-3",2022,2022,"May",5,10,1845,"5.42 (Unreliable)"
"269","","Ohio",39,"30-34 years","30-34","White","2106-3",2021,2021,"January",1,12,2211,"5.43 (Unreliable)"
"270","","Florida",12,"30-34 years","30-34","White","2106-3",2022,2022,"May",5,22,4050,"5.43"
"271","","New York",36,"25-29 years","25-29","White","2106-3",2022,2022,"January",1,14,2567,"5.45 (Unreliable)"
"272","","Florida",12,"30-34 years","30-34","White","2106-3",2021,2021,"February",2,20,3664,"5.46"
"273","","Ohio",39,"25-29 years","25-29","White","2106-3",2021,2021,"October",10,14,2561,"5.47 (Unreliable)"
"274","","Virginia",51,"30-34 years","30-34","White","2106-3",2022,2022,"March",3,10,1819,"5.50 (Unreliable)"
"275","","Ohio",39,"25-29 years","25-29","White","2106-3",2022,2022,"July",7,15,2723,"5.51 (Unreliable)"
"276","","Florida",12,"30-34 years","30-34","White","2106-3",2021,2021,"July",7,23,4175,"5.51"
"277","","Illinois",17,"25-29 years","25-29","White","2106-3",2021,2021,"April",4,12,2173,"5.52 (Unreliable)"
"278","","Florida",12,"20-24 years","20-24","White","2106-3",2021,2021,"December",12,12,2170,"5.53 (Unreliable)"
"279","","Illinois",17,"25-29 years","25-29","White","2106-3",2021,2021,"July",7,13,2347,"5.54 (Unreliable)"
"280","","Florida",12,"25-29 years","25-29","White","2106-3",2022,2022,"August",8,23,4145,"5.55"
"281","","California",6,"20-24 years","20-24","White","2106-3",2021,2021,"July",7,23,4143,"5.55"
"282","","North Carolina",37,"25-29 years","25-29","White","2106-3",2022,2022,"August",8,12,2159,"5.56 (Unreliable)"
"283","","Pennsylvania",42,"30-34 years","30-34","White","2106-3",2022,2022,"December",12,15,2678,"5.60 (Unreliable)"
"284","","North Carolina",37,"30-34 years","30-34","White","2106-3",2021,2021,"September",9,12,2136,"5.62 (Unreliable)"
"285","","North Carolina",37,"25-29 years","25-29","White","2106-3",2022,2022,"February",2,10,1766,"5.66 (Unreliable)"
"286","","Ohio",39,"30-34 years","30-34","White","2106-3",2022,2022,"March",3,15,2637,"5.69 (Unreliable)"
"287","","California",6,"20-24 years","20-24","White","2106-3",2021,2021,"December",12,24,4196,"5.72"
"288","","North Carolina",37,"30-34 years","30-34","White","2106-3",2021,2021,"May",5,12,2091,"5.74 (Unreliable)"
"289","","Indiana",18,"25-29 years","25-29","White","2106-3",2021,2021,"December",12,10,1742,"5.74 (Unreliable)"
"290","","Florida",12,"25-29 years","25-29","White","2106-3",2022,2022,"February",2,19,3309,"5.74 (Unreliable)"
"291","","North Carolina",37,"25-29 years","25-29","White","2106-3",2021,2021,"October",10,11,1913,"5.75 (Unreliable)"
"292","","Florida",12,"20-24 years","20-24","White","2106-3",2022,2022,"February",2,11,1912,"5.75 (Unreliable)"
"293","","Michigan",26,"25-29 years","25-29","White","2106-3",2022,2022,"August",8,12,2085,"5.76 (Unreliable)"
"294","","Michigan",26,"25-29 years","25-29","White","2106-3",2022,2022,"April",4,11,1907,"5.77 (Unreliable)"
"295","","Pennsylvania",42,"30-34 years","30-34","White","2106-3",2021,2021,"October",10,17,2947,"5.77 (Unreliable)"
"296","","Georgia",13,"25-29 years","25-29","White","2106-3",2022,2022,"March",3,10,1726,"5.79 (Unreliable)"
"297","","Ohio",39,"25-29 years","25-29","White","2106-3",2021,2021,"November",11,14,2414,"5.80 (Unreliable)"
"298","","Michigan",26,"30-34 years","30-34","White","2106-3",2022,2022,"October",10,12,2069,"5.80 (Unreliable)"
"299","","New York",36,"25-29 years","25-29","White","2106-3",2021,2021,"November",11,15,2586,"5.80 (Unreliable)"
"300","","North Carolina",37,"30-34 years","30-34","White","2106-3",2022,2022,"October",10,12,2067,"5.81 (Unreliable)"
"301","","Florida",12,"30-34 years","30-34","White","2106-3",2021,2021,"April",4,22,3788,"5.81"
"302","","Texas",48,"25-29 years","25-29","White","2106-3",2021,2021,"March",3,41,7039,"5.82"
"303","","Texas",48,"20-24 years","20-24","White","2106-3",2021,2021,"July",7,32,5482,"5.84"
"304","","Indiana",18,"25-29 years","25-29","White","2106-3",2022,2022,"June",6,10,1713,"5.84 (Unreliable)"
"305","","Ohio",39,"30-34 years","30-34","White","2106-3",2021,2021,"March",3,15,2563,"5.85 (Unreliable)"
"306","","Georgia",13,"25-29 years","25-29","White","2106-3",2021,2021,"August",8,11,1879,"5.85 (Unreliable)"
"307","","Ohio",39,"25-29 years","25-29","White","2106-3",2022,2022,"September",9,15,2538,"5.91 (Unreliable)"
"308","","Texas",48,"20-24 years","20-24","White","2106-3",2022,2022,"July",7,33,5583,"5.91"
"309","","Texas",48,"20-24 years","20-24","White","2106-3",2021,2021,"May",5,29,4903,"5.91"
"310","","Arizona",4,"30-34 years","30-34","White","2106-3",2021,2021,"September",9,10,1688,"5.92 (Unreliable)"
"311","","Michigan",26,"25-29 years","25-29","White","2106-3",2022,2022,"June",6,12,2022,"5.93 (Unreliable)"
"312","","Ohio",39,"25-29 years","25-29","White","2106-3",2021,2021,"August",8,16,2692,"5.94 (Unreliable)"
"313","","Indiana",18,"30-34 years","30-34","White","2106-3",2021,2021,"July",7,10,1682,"5.95 (Unreliable)"
"314","","Georgia",13,"25-29 years","25-29","White","2106-3",2021,2021,"December",12,11,1847,"5.96 (Unreliable)"
"315","","New York",36,"20-24 years","20-24","White","2106-3",2022,2022,"March",3,10,1679,"5.96 (Unreliable)"
"316","","Florida",12,"20-24 years","20-24","White","2106-3",2021,2021,"March",3,12,2006,"5.98 (Unreliable)"
"317","","Ohio",39,"30-34 years","30-34","White","2106-3",2022,2022,"February",2,13,2173,"5.98 (Unreliable)"
"318","","Texas",48,"25-29 years","25-29","White","2106-3",2022,2022,"January",1,44,7352,"5.98"
"319","","Indiana",18,"25-29 years","25-29","White","2106-3",2022,2022,"August",8,12,2005,"5.99 (Unreliable)"
"320","","Ohio",39,"25-29 years","25-29","White","2106-3",2022,2022,"January",1,13,2168,"6.00 (Unreliable)"
"321","","Illinois",17,"25-29 years","25-29","White","2106-3",2021,2021,"November",11,12,1996,"6.01 (Unreliable)"
"322","","Indiana",18,"25-29 years","25-29","White","2106-3",2021,2021,"March",3,10,1661,"6.02 (Unreliable)"
"323","","Indiana",18,"25-29 years","25-29","White","2106-3",2021,2021,"November",11,10,1660,"6.02 (Unreliable)"
"324","","New York",36,"20-24 years","20-24","White","2106-3",2022,2022,"October",10,10,1660,"6.02 (Unreliable)"
"325","","Arizona",4,"30-34 years","30-34","White","2106-3",2022,2022,"December",12,10,1656,"6.04 (Unreliable)"
"326","","Arizona",4,"25-29 years","25-29","White","2106-3",2022,2022,"January",1,10,1649,"6.06 (Unreliable)"
"327","","New York",36,"20-24 years","20-24","White","2106-3",2021,2021,"August",8,10,1648,"6.07 (Unreliable)"
"328","","Texas",48,"20-24 years","20-24","White","2106-3",2022,2022,"May",5,30,4944,"6.07"
"329","","Ohio",39,"30-34 years","30-34","White","2106-3",2021,2021,"November",11,15,2467,"6.08 (Unreliable)"
"330","","California",6,"20-24 years","20-24","White","2106-3",2021,2021,"October",10,26,4275,"6.08"
"331","","California",6,"20-24 years","20-24","White","2106-3",2022,2022,"February",2,22,3605,"6.10"
"332","","California",6,"30-34 years","30-34","Asian","A",2021,2021,"February",2,11,1798,"6.12 (Unreliable)"
"333","","Texas",48,"20-24 years","20-24","White","2106-3",2022,2022,"March",3,33,5372,"6.14"
"334","","Georgia",13,"25-29 years","25-29","White","2106-3",2022,2022,"May",5,11,1790,"6.15 (Unreliable)"
"335","","Florida",12,"25-29 years","25-29","White","2106-3",2021,2021,"May",5,21,3408,"6.16"
"336","","Illinois",17,"25-29 years","25-29","White","2106-3",2021,2021,"February",2,12,1942,"6.18 (Unreliable)"
"337","","Michigan",26,"25-29 years","25-29","White","2106-3",2021,2021,"January",1,11,1774,"6.20 (Unreliable)"
"338","","Pennsylvania",42,"30-34 years","30-34","White","2106-3",2022,2022,"January",1,17,2734,"6.22 (Unreliable)"
"339","","Texas",48,"20-24 years","20-24","White","2106-3",2022,2022,"December",12,37,5915,"6.26"
"340","","Texas",48,"20-24 years","20-24","White","2106-3",2022,2022,"October",10,35,5562,"6.29"
"341","","Texas",48,"20-24 years","20-24","White","2106-3",2021,2021,"November",11,34,5392,"6.31"
"342","","Virginia",51,"30-34 years","30-34","White","2106-3",2022,2022,"October",10,11,1743,"6.31 (Unreliable)"
"343","","California",6,"20-24 years","20-24","White","2106-3",2021,2021,"March",3,25,3955,"6.32"
"344","","North Carolina",37,"25-29 years","25-29","White","2106-3",2021,2021,"April",4,12,1888,"6.36 (Unreliable)"
"345","","Tennessee",47,"25-29 years","25-29","White","2106-3",2022,2022,"September",9,11,1725,"6.38 (Unreliable)"
"346","","Ohio",39,"20-24 years","20-24","White","2106-3",2022,2022,"June",6,10,1564,"6.39 (Unreliable)"
"347","","Ohio",39,"30-34 years","30-34","White","2106-3",2022,2022,"November",11,16,2500,"6.40 (Unreliable)"
"348","","Virginia",51,"30-34 years","30-34","White","2106-3",2021,2021,"December",12,11,1718,"6.40 (Unreliable)"
"349","","Indiana",18,"25-29 years","25-29","White","2106-3",2021,2021,"July",7,12,1868,"6.42 (Unreliable)"
"350","","New York",36,"20-24 years","20-24","White","2106-3",2021,2021,"September",9,11,1706,"6.45 (Unreliable)"
"351","","Arizona",4,"30-34 years","30-34","White","2106-3",2022,2022,"August",8,10,1546,"6.47 (Unreliable)"
"352","","Texas",48,"15-19 years","15-19","White","2106-3",2022,2022,"November",11,10,1545,"6.47 (Unreliable)"
"353","","Georgia",13,"25-29 years","25-29","White","2106-3",2022,2022,"September",9,12,1854,"6.47 (Unreliable)"
"354","","Georgia",13,"25-29 years","25-29","White","2106-3",2021,2021,"November",11,11,1697,"6.48 (Unreliable)"
"355","","Tennessee",47,"30-34 years","30-34","White","2106-3",2022,2022,"August",8,10,1540,"6.49 (Unreliable)"
"356","","Arizona",4,"25-29 years","25-29","White","2106-3",2021,2021,"March",3,10,1539,"6.50 (Unreliable)"
"357","","New York",36,"20-24 years","20-24","White","2106-3",2021,2021,"December",12,11,1687,"6.52 (Unreliable)"
"358","","Pennsylvania",42,"25-29 years","25-29","White","2106-3",2022,2022,"July",7,16,2453,"6.52 (Unreliable)"
"359","","Florida",12,"20-24 years","20-24","White","2106-3",2021,2021,"April",4,13,1989,"6.54 (Unreliable)"
"360","","Texas",48,"20-24 years","20-24","White","2106-3",2022,2022,"June",6,35,5302,"6.60"
"361","","Florida",12,"20-24 years","20-24","White","2106-3",2021,2021,"August",8,15,2260,"6.64 (Unreliable)"
"362","","Texas",48,"15-19 years","15-19","White","2106-3",2021,2021,"August",8,10,1504,"6.65 (Unreliable)"
"363","","North Carolina",37,"25-29 years","25-29","White","2106-3",2022,2022,"October",10,13,1944,"6.69 (Unreliable)"
"364","","Pennsylvania",42,"25-29 years","25-29","White","2106-3",2022,2022,"March",3,15,2233,"6.72 (Unreliable)"
"365","","Ohio",39,"20-24 years","20-24","White","2106-3",2022,2022,"December",12,11,1637,"6.72 (Unreliable)"
"366","","Texas",48,"15-19 years","15-19","White","2106-3",2022,2022,"September",9,10,1487,"6.72 (Unreliable)"
"367","","Georgia",13,"30-34 years","30-34","White","2106-3",2022,2022,"May",5,11,1635,"6.73 (Unreliable)"
"368","","Texas",48,"20-24 years","20-24","White","2106-3",2021,2021,"January",1,33,4900,"6.73"
"369","","Florida",12,"20-24 years","20-24","White","2106-3",2021,2021,"May",5,13,1928,"6.74 (Unreliable)"
"370","","Indiana",18,"30-34 years","30-34","White","2106-3",2022,2022,"May",5,10,1479,"6.76 (Unreliable)"
"371","","Michigan",26,"30-34 years","30-34","White","2106-3",2022,2022,"December",12,14,2064,"6.78 (Unreliable)"
"372","","Ohio",39,"20-24 years","20-24","White","2106-3",2022,2022,"March",3,10,1470,"6.80 (Unreliable)"
"373","","Virginia",51,"25-29 years","25-29","White","2106-3",2022,2022,"September",9,10,1468,"6.81 (Unreliable)"
"374","","Indiana",18,"25-29 years","25-29","White","2106-3",2022,2022,"December",12,12,1761,"6.81 (Unreliable)"
"375","","Virginia",51,"30-34 years","30-34","White","2106-3",2021,2021,"January",1,11,1610,"6.83 (Unreliable)"
"376","","Florida",12,"25-29 years","25-29","White","2106-3",2021,2021,"February",2,22,3201,"6.87"
"377","","Ohio",39,"20-24 years","20-24","White","2106-3",2021,2021,"October",10,11,1592,"6.91 (Unreliable)"
"378","","Ohio",39,"20-24 years","20-24","White","2106-3",2021,2021,"March",3,11,1589,"6.92 (Unreliable)"
"379","","Florida",12,"20-24 years","20-24","White","2106-3",2022,2022,"October",10,15,2158,"6.95 (Unreliable)"
"380","","Ohio",39,"20-24 years","20-24","White","2106-3",2021,2021,"August",8,12,1724,"6.96 (Unreliable)"
"381","","Ohio",39,"25-29 years","25-29","White","2106-3",2021,2021,"May",5,18,2576,"6.99 (Unreliable)"
"382","","Georgia",13,"25-29 years","25-29","White","2106-3",2021,2021,"March",3,12,1716,"6.99 (Unreliable)"
"383","","Arizona",4,"25-29 years","25-29","White","2106-3",2022,2022,"June",6,11,1565,"7.03 (Unreliable)"
"384","","Michigan",26,"30-34 years","30-34","White","2106-3",2021,2021,"February",2,13,1848,"7.03 (Unreliable)"
"385","","Virginia",51,"25-29 years","25-29","White","2106-3",2021,2021,"August",8,11,1556,"7.07 (Unreliable)"
"386","","Wisconsin",55,"25-29 years","25-29","White","2106-3",2021,2021,"August",8,10,1412,"7.08 (Unreliable)"
"387","","Virginia",51,"25-29 years","25-29","White","2106-3",2021,2021,"May",5,10,1407,"7.11 (Unreliable)"
"388","","Texas",48,"20-24 years","20-24","White","2106-3",2022,2022,"April",4,35,4923,"7.11"
"389","","Tennessee",47,"25-29 years","25-29","White","2106-3",2022,2022,"December",12,12,1686,"7.12 (Unreliable)"
"390","","Tennessee",47,"30-34 years","30-34","White","2106-3",2022,2022,"January",1,10,1403,"7.13 (Unreliable)"
"391","","Virginia",51,"30-34 years","30-34","White","2106-3",2022,2022,"August",8,14,1963,"7.13 (Unreliable)"
"392","","Florida",12,"20-24 years","20-24","White","2106-3",2021,2021,"July",7,15,2099,"7.15 (Unreliable)"
"393","","Tennessee",47,"25-29 years","25-29","White","2106-3",2022,2022,"November",11,11,1539,"7.15 (Unreliable)"
"394","","Wisconsin",55,"30-34 years","30-34","White","2106-3",2022,2022,"March",3,11,1537,"7.16 (Unreliable)"
"395","","Ohio",39,"20-24 years","20-24","White","2106-3",2021,2021,"April",4,11,1537,"7.16 (Unreliable)"
"396","","Tennessee",47,"30-34 years","30-34","White","2106-3",2021,2021,"April",4,10,1382,"7.24 (Unreliable)"
"397","","Georgia",13,"25-29 years","25-29","White","2106-3",2022,2022,"July",7,14,1919,"7.30 (Unreliable)"
"398","","Virginia",51,"30-34 years","30-34","White","2106-3",2021,2021,"May",5,14,1916,"7.31 (Unreliable)"
"399","","Texas",48,"15-19 years","15-19","White","2106-3",2022,2022,"July",7,11,1501,"7.33 (Unreliable)"
"400","","Missouri",29,"30-34 years","30-34","White","2106-3",2022,2022,"July",7,10,1363,"7.34 (Unreliable)"
"401","","Ohio",39,"20-24 years","20-24","White","2106-3",2022,2022,"July",7,12,1629,"7.37 (Unreliable)"
"402","","Texas",48,"15-19 years","15-19","White","2106-3",2021,2021,"September",9,12,1624,"7.39 (Unreliable)"
"403","","Indiana",18,"25-29 years","25-29","White","2106-3",2021,2021,"June",6,14,1888,"7.42 (Unreliable)"
"404","","Ohio",39,"20-24 years","20-24","White","2106-3",2022,2022,"November",11,11,1482,"7.42 (Unreliable)"
"405","","Georgia",13,"30-34 years","30-34","White","2106-3",2021,2021,"April",4,13,1745,"7.45 (Unreliable)"
"406","","Ohio",39,"20-24 years","20-24","White","2106-3",2021,2021,"June",6,12,1608,"7.46 (Unreliable)"
"407","","Arizona",4,"30-34 years","30-34","White","2106-3",2021,2021,"January",1,10,1338,"7.47 (Unreliable)"
"408","","Pennsylvania",42,"25-29 years","25-29","White","2106-3",2022,2022,"June",6,17,2269,"7.49 (Unreliable)"
"409","","Arizona",4,"30-34 years","30-34","White","2106-3",2022,2022,"June",6,11,1464,"7.51 (Unreliable)"
"410","","Florida",12,"30-34 years","30-34","Black or African American","2054-5",2022,2022,"August",8,10,1327,"7.54 (Unreliable)"
"411","","Ohio",39,"20-24 years","20-24","White","2106-3",2022,2022,"August",8,13,1724,"7.54 (Unreliable)"
"412","","Florida",12,"25-29 years","25-29","Black or African American","2054-5",2022,2022,"December",12,10,1321,"7.57 (Unreliable)"
"413","","Missouri",29,"25-29 years","25-29","White","2106-3",2022,2022,"June",6,11,1452,"7.58 (Unreliable)"
"414","","Ohio",39,"30-34 years","30-34","White","2106-3",2021,2021,"July",7,21,2766,"7.59"
"415","","Wisconsin",55,"30-34 years","30-34","White","2106-3",2022,2022,"August",8,12,1570,"7.64 (Unreliable)"
"416","","Ohio",39,"25-29 years","25-29","White","2106-3",2021,2021,"March",3,20,2616,"7.65"
"417","","Ohio",39,"25-29 years","25-29","White","2106-3",2021,2021,"December",12,19,2482,"7.66 (Unreliable)"
"418","","Texas",48,"15-19 years","15-19","White","2106-3",2022,2022,"February",2,10,1301,"7.69 (Unreliable)"
"419","","Texas",48,"15-19 years","15-19","White","2106-3",2022,2022,"June",6,11,1416,"7.77 (Unreliable)"
"420","","Ohio",39,"25-29 years","25-29","White","2106-3",2022,2022,"February",2,17,2186,"7.78 (Unreliable)"
"421","","Texas",48,"15-19 years","15-19","White","2106-3",2022,2022,"December",12,12,1542,"7.78 (Unreliable)"
"422","","Texas",48,"15-19 years","15-19","White","2106-3",2021,2021,"July",7,12,1539,"7.80 (Unreliable)"
"423","","Indiana",18,"25-29 years","25-29","White","2106-3",2022,2022,"October",10,14,1777,"7.88 (Unreliable)"
"424","","Texas",48,"25-29 years","25-29","Black or African American","2054-5",2021,2021,"July",7,10,1269,"7.88 (Unreliable)"
"425","","Texas",48,"25-29 years","25-29","Black or African American","2054-5",2021,2021,"September",9,10,1269,"7.88 (Unreliable)"
"426","","Georgia",13,"25-29 years","25-29","White","2106-3",2021,2021,"April",4,13,1646,"7.90 (Unreliable)"
"427","","Pennsylvania",42,"20-24 years","20-24","White","2106-3",2021,2021,"October",10,10,1266,"7.90 (Unreliable)"
"428","","Texas",48,"15-19 years","15-19","White","2106-3",2021,2021,"February",2,10,1258,"7.95 (Unreliable)"
"429","","Florida",12,"30-34 years","30-34","Black or African American","2054-5",2022,2022,"September",9,10,1250,"8.00 (Unreliable)"
"430","","Indiana",18,"20-24 years","20-24","White","2106-3",2021,2021,"August",8,10,1247,"8.02 (Unreliable)"
"431","","Kentucky",21,"25-29 years","25-29","White","2106-3",2021,2021,"August",8,10,1244,"8.04 (Unreliable)"
"432","","Texas",48,"25-29 years","25-29","Black or African American","2054-5",2022,2022,"November",11,10,1241,"8.06 (Unreliable)"
"433","","Pennsylvania",42,"20-24 years","20-24","White","2106-3",2021,2021,"September",9,10,1235,"8.10 (Unreliable)"
"434","","Georgia",13,"20-24 years","20-24","White","2106-3",2022,2022,"December",12,10,1231,"8.12 (Unreliable)"
"435","","Washington",53,"25-29 years","25-29","White","2106-3",2021,2021,"January",1,11,1350,"8.15 (Unreliable)"
"436","","Texas",48,"15-19 years","15-19","White","2106-3",2021,2021,"May",5,11,1349,"8.15 (Unreliable)"
"437","","Missouri",29,"30-34 years","30-34","White","2106-3",2022,2022,"May",5,11,1323,"8.31 (Unreliable)"
"438","","North Carolina",37,"25-29 years","25-29","White","2106-3",2022,2022,"January",1,15,1799,"8.34 (Unreliable)"
"439","","Illinois",17,"25-29 years","25-29","White","2106-3",2022,2022,"October",10,18,2152,"8.36 (Unreliable)"
"440","","Florida",12,"25-29 years","25-29","Black or African American","2054-5",2022,2022,"June",6,10,1195,"8.37 (Unreliable)"
"441","","Ohio",39,"20-24 years","20-24","White","2106-3",2022,2022,"January",1,13,1546,"8.41 (Unreliable)"
"442","","Pennsylvania",42,"25-29 years","25-29","White","2106-3",2022,2022,"November",11,18,2126,"8.47 (Unreliable)"
"443","","Texas",48,"30-34 years","30-34","Black or African American","2054-5",2022,2022,"September",9,10,1180,"8.47 (Unreliable)"
"444","","Texas",48,"20-24 years","20-24","White","2106-3",2021,2021,"February",2,39,4596,"8.49"
"445","","Minnesota",27,"25-29 years","25-29","White","2106-3",2021,2021,"April",4,10,1178,"8.49 (Unreliable)"
"446","","Ohio",39,"20-24 years","20-24","White","2106-3",2022,2022,"February",2,12,1413,"8.49 (Unreliable)"
"447","","Tennessee",47,"20-24 years","20-24","White","2106-3",2022,2022,"September",9,10,1168,"8.56 (Unreliable)"
"448","","Indiana",18,"25-29 years","25-29","White","2106-3",2022,2022,"April",4,14,1632,"8.58 (Unreliable)"
"449","","North Carolina",37,"20-24 years","20-24","White","2106-3",2021,2021,"September",9,11,1281,"8.59 (Unreliable)"
"450","","Pennsylvania",42,"20-24 years","20-24","White","2106-3",2022,2022,"May",5,10,1162,"8.61 (Unreliable)"
"451","","Indiana",18,"25-29 years","25-29","White","2106-3",2022,2022,"May",5,15,1734,"8.65 (Unreliable)"
"452","","Florida",12,"25-29 years","25-29","Black or African American","2054-5",2022,2022,"January",1,11,1265,"8.70 (Unreliable)"
"453","","Texas",48,"25-29 years","25-29","Black or African American","2054-5",2021,2021,"October",10,11,1263,"8.71 (Unreliable)"
"454","","Tennessee",47,"20-24 years","20-24","White","2106-3",2021,2021,"October",10,10,1140,"8.77 (Unreliable)"
"455","","Florida",12,"30-34 years","30-34","Black or African American","2054-5",2021,2021,"August",8,11,1246,"8.83 (Unreliable)"
"456","","Texas",48,"15-19 years","15-19","White","2106-3",2021,2021,"December",12,13,1470,"8.84 (Unreliable)"
"457","","Missouri",29,"25-29 years","25-29","White","2106-3",2021,2021,"February",2,11,1240,"8.87 (Unreliable)"
"458","","Michigan",26,"20-24 years","20-24","White","2106-3",2022,2022,"July",7,10,1119,"8.94 (Unreliable)"
"459","","Missouri",29,"30-34 years","30-34","White","2106-3",2022,2022,"January",1,11,1227,"8.96 (Unreliable)"
"460","","Texas",48,"20-24 years","20-24","Black or African American","2054-5",2022,2022,"August",8,10,1114,"8.98 (Unreliable)"
"461","","Florida",12,"30-34 years","30-34","Black or African American","2054-5",2021,2021,"November",11,10,1110,"9.01 (Unreliable)"
"462","","Indiana",18,"30-34 years","30-34","White","2106-3",2022,2022,"June",6,14,1549,"9.04 (Unreliable)"
"463","","North Carolina",37,"20-24 years","20-24","White","2106-3",2022,2022,"January",1,11,1213,"9.07 (Unreliable)"
"464","","Georgia",13,"20-24 years","20-24","White","2106-3",2022,2022,"September",9,11,1205,"9.13 (Unreliable)"
"465","","Michigan",26,"20-24 years","20-24","White","2106-3",2021,2021,"May",5,10,1093,"9.15 (Unreliable)"
"466","","Georgia",13,"30-34 years","30-34","Black or African American","2054-5",2022,2022,"August",8,10,1088,"9.19 (Unreliable)"
"467","","New York",36,"30-34 years","30-34","Black or African American","2054-5",2021,2021,"August",8,10,1079,"9.27 (Unreliable)"
"468","","Virginia",51,"25-29 years","25-29","White","2106-3",2021,2021,"July",7,14,1509,"9.28 (Unreliable)"
"469","","Georgia",13,"20-24 years","20-24","White","2106-3",2021,2021,"June",6,11,1184,"9.29 (Unreliable)"
"470","","Florida",12,"30-34 years","30-34","Black or African American","2054-5",2022,2022,"April",4,10,1074,"9.31 (Unreliable)"
"471","","Missouri",29,"20-24 years","20-24","White","2106-3",2022,2022,"August",8,10,1068,"9.36 (Unreliable)"
"472","","Florida",12,"20-24 years","20-24","White","2106-3",2022,2022,"July",7,20,2130,"9.39"
"473","","Missouri",29,"30-34 years","30-34","White","2106-3",2021,2021,"October",10,13,1381,"9.41 (Unreliable)"
"474","","Pennsylvania",42,"20-24 years","20-24","White","2106-3",2022,2022,"March",3,11,1160,"9.48 (Unreliable)"
"475","","Texas",48,"25-29 years","25-29","Black or African American","2054-5",2022,2022,"September",9,12,1246,"9.63 (Unreliable)"
"476","","Tennessee",47,"20-24 years","20-24","White","2106-3",2022,2022,"May",5,10,1036,"9.65 (Unreliable)"
"477","","Illinois",17,"20-24 years","20-24","White","2106-3",2021,2021,"April",4,11,1135,"9.69 (Unreliable)"
"478","","Arizona",4,"20-24 years","20-24","White","2106-3",2021,2021,"March",3,10,1031,"9.70 (Unreliable)"
"479","","Ohio",39,"20-24 years","20-24","White","2106-3",2021,2021,"February",2,14,1442,"9.71 (Unreliable)"
"480","","Ohio",39,"25-29 years","25-29","White","2106-3",2022,2022,"March",3,25,2568,"9.74"
"481","","Illinois",17,"20-24 years","20-24","White","2106-3",2022,2022,"October",10,11,1128,"9.75 (Unreliable)"
"482","","Texas",48,"25-29 years","25-29","Black or African American","2054-5",2021,2021,"August",8,13,1331,"9.77 (Unreliable)"
